codigo_ocorrencia2,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia3,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_latitude,ocorrencia_longitude,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
87112,PSCNC,***,AVIAO,CESSNA AIRCRAFT,208B,C208,TURBOELICE,MONOMOTOR,4110.0,4110.0,11.0,0.0,BRASIL,BRASIL,AVIAO,***,TANCREDO NEVES,JACAREPAGUA,CRUZEIRO,TAXI AEREO,NENHUM,0.0,87112,87112,87112,87112,INCIDENTE,-22.9875,-43.37,RIO DE JANEIRO,RJ,BRASIL,FAER,05/05/2025,23:45:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87111,PRVJM,***,AVIAO,CESSNA AIRCRAFT,210N,C210,PISTAO,MONOMOTOR,1724.0,1724.0,6.0,1981.0,BRASIL,BRASIL,AVIAO,***,CARAJAS,AERODROMO NAO CADASTRADO,POUSO,TAXI AEREO,SUBSTANCIAL,0.0,87111,87111,87111,87111,ACIDENTE,-6.304444444444,-50.91333333333,PARAUAPEBAS,PA,BRASIL,NCAD,05/05/2025,20:30:00,NAO,ATIVA,A DEFINIR,NAO,,0,1,NAO
87110,PTWOS,***,AVIAO,CESSNA AIRCRAFT,208,C208,TURBOELICE,MONOMOTOR,3629.0,3629.0,11.0,1990.0,BRASIL,BRASIL,AVIAO,***,VAL DE CANS / JULIO CEZAR RIBEIRO,MARECHAL CUNHA MACHADO,TAXI,TAXI AEREO,LEVE,0.0,87110,87110,87110,87110,INCIDENTE,-2.586944444444,-44.23611111111,SAO LUIS,MA,BRASIL,SBSL,05/05/2025,19:55:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87109,PSGNI,***,AVIAO,HAWKER BEECHCRAFT,C90GTI,BE9L,,BIMOTOR,4581.0,4581.0,0.0,0.0,BRASIL,BRASIL,AVIAO,***,Comandante Rolim Adolfo Amaro,VILHENA,DESCIDA,PRIVADA,LEVE,0.0,87109,87109,87109,87109,INCIDENTE,-13.78222222222,-58.91555555555,SAPEZAL,MT,BRASIL,FAER,05/04/2025,15:30:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87108,PRTYT,***,AVIAO,AIRBUS,A320-214,A320,JATO,BIMOTOR,78000.0,78000.0,0.0,2015.0,BRASIL,BRASIL,AVIAO,***,VAL DE CANS / JULIO CEZAR RIBEIRO,GOVERNADOR ANDRE FRANCO MONTORO,POUSO,REGULAR,NENHUM,0.0,87108,87108,87108,87108,INCIDENTE,-23.43555555555,-46.47305555555,GUARULHOS,SP,BRASIL,SBGR,25/03/2025,11:45:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87107,PTMUI,***,AVIAO,BOEING,777-32WER,B77W,JATO,BIMOTOR,346544.0,346544.0,384.0,2013.0,BRASIL,BRASIL,AVIAO,***,AEROPORTO DE FRANKFURT ALEMANHA,GOVERNADOR ANDRE FRANCO MONTORO,POUSO,REGULAR,NENHUM,0.0,87107,87107,87107,87107,INCIDENTE,-23.43555555555,-46.47305555555,GUARULHOS,SP,BRASIL,SBGR,29/03/2025,12:00:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87106,PTXPN,***,AVIAO,AIRBUS,A321-211,A320,***,***,89000.0,89000.0,,2016.0,BRASIL,BRASIL,AVIAO,***,GOVERNADOR ANDRE FRANCO MONTORO,ANTONIO CARLOS JOBIM / GALEAO,APROXIMACAO FINAL,REGULAR,LEVE,0.0,87106,87106,87106,87106,INCIDENTE,-22.81,-43.25055555555,RIO DE JANEIRO,RJ,BRASIL,SBGL,05/05/2025,14:00:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87105,PSGRA,***,AVIAO,BOEING COMPANY,B737-8 MAX,B38M,,***,82190.0,82190.0,,2023.0,BRASIL,BRASIL,AVIAO,***,EDUARDO GOMES,MAESTRO WILSON FONSECA,DECOLAGEM,REGULAR,LEVE,0.0,87105,87105,87105,87105,INCIDENTE,-3.041111111111,-60.05055555555,MANAUS,AM,BRASIL,SBEG,02/05/2025,16:37:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87104,PSLBM,***,AVIAO,AIRBUS S.A.S.,A321-271N,A21N,,***,89000.0,89000.0,,2024.0,BRASIL,BRASIL,AVIAO,***,AFONSO PENA,GOVERNADOR ANDRE FRANCO MONTORO,POUSO,REGULAR,LEVE,0.0,87104,87104,87104,87104,INCIDENTE,-23.43555555555,-46.47305555555,GUARULHOS,SP,BRASIL,SBGR,27/04/2025,19:41:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87103,PUTDP,***,ULTRALEVE,***,ADVENTURE,ULAC,PISTAO,MONOMOTOR,420.0,420.0,2.0,2008.0,BRASIL,BRASIL,ULTRALEVE,***,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMACAO FINAL,EXPERIMENTAL,SUBSTANCIAL,1.0,87103,87103,87103,87103,ACIDENTE,-7.256111111111,-38.37666666666,SERRA GRANDE,PB,BRASIL,FAER,03/05/2025,11:50:00,SIM,ATIVA,A DEFINIR,NAO,,0,1,NAO
87102,PRGUI,***,AVIAO,BOEING,737-8EH,B738,JATO,BIMOTOR,79015.0,79015.0,187.0,2011.0,BRASIL,BRASIL,AVIAO,***,TENENTE-CORONEL AVIADOR CESAR BOMBONATO,CONGONHAS,SUBIDA,REGULAR,NENHUM,0.0,87102,87102,87102,87102,INCIDENTE GRAVE,,,UBERABA,MG,BRASIL,FAER,11/04/2025,18:45:00,SIM,ATIVA,IG-057/CENIPA/2025,NAO,,0,2,NAO
87102,PSTEO,***,***,BEECH AIRCRAFT,400A,BE40,,BIMOTOR,7393.0,7393.0,,,BRASIL,BRASIL,***,***,CAMPO DE MARTE - SP,TENENTE-CORONEL AVIADOR CESAR BOMBONATO,DESCIDA,PRIVADA,NENHUM,0.0,87102,87102,87102,87102,INCIDENTE GRAVE,,,UBERABA,MG,BRASIL,FAER,11/04/2025,18:45:00,SIM,ATIVA,IG-057/CENIPA/2025,NAO,,0,2,NAO
87100,PRKLI,***,HELICOPTERO,HELIBRAS,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250.0,2250.0,6.0,2008.0,BRASIL,BRASIL,HELICOPTERO,***,FORA DE AERODROMO,SURUCUCU,CRUZEIRO,***,LEVE,0.0,87100,87100,87100,87100,INCIDENTE,2.7833333333333,-63.31666666666,ALTO ALEGRE,RR,BRASIL,FAER,01/05/2025,19:30:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87099,PRGYD,***,***,BOEING,737-8EH,B738,JATO,BIMOTOR,70533.0,70533.0,0.0,0.0,BRASIL,BRASIL,***,***,PRESIDENTE JUSCELINO KUBITSCHEK,MARECHAL CUNHA MACHADO,DECOLAGEM,REGULAR,LEVE,0.0,87099,87099,87099,87099,INCIDENTE,-15.87111111111,-47.91861111111,BRASILIA,DF,BRASIL,SBBR,23/04/2025,11:51:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87098,MXLII - FL,***,***,,,,,SEM TRACAO,0.0,0.0,,,BRASIL,BRASIL,***,***,JABOTICABAL,BARTOLOMEU DE GUSMAO,CRUZEIRO,AERODESPORTIVA,SUBSTANCIAL,1.0,87098,87098,87098,87098,ACIDENTE,-21.81194444444,-48.13305555555,ARARAQUARA,SP,BRASIL,FAER,26/04/2025,19:15:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87097,PRWBF,***,AVIAO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTAO,BIMOTOR,2155.0,2155.0,7.0,1990.0,BRASIL,BRASIL,AVIAO,***,LEITE LOPES,PONTAL,TAXI,PRIVADA,LEVE,0.0,87097,87097,87097,87097,INCIDENTE,-21.13638888888,-47.77666666666,RIBEIRAO PRETO,SP,BRASIL,SBRP,29/04/2025,20:33:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87096,PTMXH,***,AVIAO,AIRBUS,A321-231,A321,JATO,BIMOTOR,89000.0,89000.0,232.0,2011.0,BRASIL,BRASIL,AVIAO,***,ANTONIO CARLOS JOBIM / GALEAO,CATARATAS,DECOLAGEM,REGULAR,LEVE,0.0,87096,87096,87096,87096,INCIDENTE,-22.81,-43.25055555555,RIO DE JANEIRO,RJ,BRASIL,SBGL,02/05/2025,14:30:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87095,PTMXC,***,AVIAO,AIRBUS,A321-231,A321,JATO,BIMOTOR,89000.0,89000.0,232.0,2007.0,BRASIL,BRASIL,AVIAO,***,GOVERNADOR ANDRE FRANCO MONTORO,ANTONIO CARLOS JOBIM / GALEAO,POUSO,REGULAR,LEVE,0.0,87095,87095,87095,87095,INCIDENTE,-22.81,-43.25055555555,RIO DE JANEIRO,RJ,BRASIL,SBGL,02/05/2025,13:00:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87093,PRATV,***,AVIAO,ATR - GIE AVIONS DE TRANSPORT REGIONAL,ATR-72-212A,AT72,TURBOELICE,BIMOTOR,23000.0,23000.0,75.0,2012.0,BRASIL,BRASIL,AVIAO,***,TENENTE-CORONEL AVIADOR CESAR BOMBONATO,VIRACOPOS,SUBIDA,REGULAR,NENHUM,0.0,87093,87093,87093,87093,INCIDENTE,-18.88361111111,-48.22527777777,UBERLANDIA,MG,BRASIL,FAER,24/04/2025,19:30:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87092,PSGPB,***,AVIAO,BOEING,737-8 MAX,B38M,,***,82190.0,82190.0,0.0,2018.0,BRASIL,BRASIL,AVIAO,***,PRESIDENTE JUSCELINO KUBITSCHEK,AEROPUERTO INTERNACIONAL MINISTRO PISTARINI,CRUZEIRO,REGULAR,NENHUM,0.0,87092,87092,87092,87092,INCIDENTE,-23.43555555555,-46.47305555555,GUARULHOS,SP,BRASIL,FAER,27/04/2025,16:15:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87091,PRGXD,***,AVIAO,BOEING,737-8EH,B738,JATO,BIMOTOR,70533.0,70533.0,199.0,2013.0,BRASIL,BRASIL,AVIAO,***,DEPUTADO LUIS EDUARDO MAGALHAES,GOVERNADOR ANDRE FRANCO MONTORO,DECOLAGEM,REGULAR,LEVE,0.0,87091,87091,87091,87091,INCIDENTE,-12.90861111111,-38.3225,SALVADOR,BA,BRASIL,SBSV,23/04/2025,16:05:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87090,PRGUN,***,AVIAO,BOEING,737-8EH,B738,JATO,BIMOTOR,70533.0,70533.0,193.0,2012.0,BRASIL,BRASIL,AVIAO,***,CONGONHAS,SANTOS DUMONT,APROXIMACAO FINAL,REGULAR,LEVE,0.0,87090,87090,87090,87090,INCIDENTE,-22.91,-43.1625,RIO DE JANEIRO,RJ,BRASIL,SBRJ,03/05/2025,19:00:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87089,PRMYJ,***,AVIAO,AIRBUS,A320-214,A320,JATO,BIMOTOR,77000.0,77000.0,184.0,2010.0,BRASIL,BRASIL,AVIAO,***,PREFEITO RENATO MOREIRA,PRESIDENTE JUSCELINO KUBITSCHEK,CRUZEIRO,REGULAR,LEVE,0.0,87089,87089,87089,87089,INCIDENTE,-5.530555555555,-47.45833333333,IMPERATRIZ,MA,BRASIL,FAER,19/07/2024,22:45:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87088,PREAE,***,HELICOPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307.0,5307.0,,,BRASIL,BRASIL,HELICOPTERO,***,AERODROMO NAO CADASTRADO,MACAE/RIO DE JANEIRO - JOAQUIM DE AZEVEDO MANCEBO,APROXIMACAO FINAL,TAXI AEREO,NENHUM,0.0,87088,87088,87088,87088,INCIDENTE,-22.34277777777,-41.76388888888,MACAE,RJ,BRASIL,SBME,30/04/2025,13:35:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87087,PRAKJ,***,AVIAO,ATR - GIE AVIONS DE TRANSPORT REGIONAL,ATR-72-212A (600),AT76,TURBOELICE,BIMOTOR,22000.0,22000.0,0.0,2016.0,BRASIL,BRASIL,AVIAO,***,AFONSO PENA,ADALBERTO MENDES DA SILVA,SUBIDA,REGULAR,NENHUM,0.0,87087,87087,87087,87087,INCIDENTE,-25.53166666666,-49.17611111111,CURITIBA,PR,BRASIL,FAER,27/04/2025,20:45:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87086,PRGOQ,***,AVIAO,BOEING,737-76N,B737,JATO,BIMOTOR,61461.0,61461.0,153.0,2002.0,BRASIL,BRASIL,AVIAO,***,DEPUTADO LUIS EDUARDO MAGALHAES,SANTOS DUMONT,POUSO,REGULAR,LEVE,0.0,87086,87086,87086,87086,INCIDENTE,-22.91,-43.1625,RIO DE JANEIRO,RJ,BRASIL,SBRJ,21/07/2024,09:15:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87085,PRYRR,***,AVIAO,AIRBUS,A320-253N,A320,***,***,0.0,0.0,,2018.0,BRASIL,BRASIL,AVIAO,***,GUARARAPES - GILBERTO FREYRE,MARECHAL CUNHA MACHADO,CRUZEIRO,REGULAR,NENHUM,0.0,87085,87085,87085,87085,INCIDENTE,,,RECIFE,PE,BRASIL,FAER,25/04/2025,02:30:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87084,PUHGM,***,GIROCOPTERO,FLAVIUS NEVES,H2,ZZZZ,PISTAO,MONOMOTOR,500.0,500.0,2.0,2019.0,BRASIL,BRASIL,GIROCOPTERO,***,TARCISIO ROSADO,TARCISIO ROSADO,MANOBRA,EXPERIMENTAL,DESTRUIDA,2.0,87084,87084,87084,87084,ACIDENTE,-4.891944444444,-37.21361111111,GROSSOS,RN,BRASIL,FAER,21/04/2025,19:30:00,SIM,ATIVA,A-065/CENIPA/2025,NAO,,0,1,NAO
87082,PTWTC,***,AVIAO,PIPER AIRCRAFT,PA-25-235,PA25,PISTAO,MONOMOTOR,1315.0,1315.0,1.0,1968.0,BRASIL,BRASIL,AVIAO,***,AERODROMO NAO CADASTRADO,AERODROMO NAO CADASTRADO,DECOLAGEM,AGRICOLA,SUBSTANCIAL,0.0,87082,87082,87082,87082,ACIDENTE,-14.38888888888,-47.52222222222,ALTO PARAISO DE GOIAS,GO,BRASIL,NCAD,29/04/2025,11:30:00,SIM,ATIVA,A-068/CENIPA/2025,NAO,,0,1,NAO
87081,PRNYA,***,AVIAO,CESSNA AIRCRAFT,210L,C210,PISTAO,MONOMOTOR,1724.0,1724.0,6.0,1974.0,BRASIL,BRASIL,AVIAO,***,POUSO DA AGUIA,AUARIS,DECOLAGEM,***,NENHUM,0.0,87081,87081,87081,87081,INCIDENTE,2.7872222222222,-60.59583333333,CANTA,RR,BRASIL,SWPD,26/04/2025,16:15:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87080,PSSLH,***,***,TEXTRON AVIATION,208B,C208,,MONOMOTOR,3969.0,3969.0,,,BRASIL,BRASIL,***,***,AUARIS,POUSO DA AGUIA,TAXI,***,NENHUM,0.0,87080,87080,87080,87080,INCIDENTE,2.7872222222222,-60.59583333333,CANTA,RR,BRASIL,SWPD,27/04/2025,00:00:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87079,PTRBC,***,AVIAO,EMBRAER,EMB-810C,PA34,PISTAO,BIMOTOR,2073.0,2073.0,6.0,1979.0,BRASIL,BRASIL,AVIAO,***,NAO IDENTIFICADO,NAO IDENTIFICADO,INDETERMINADA,***,DESTRUIDA,0.0,87079,87079,87079,87079,ACIDENTE,,,JACAREACANGA,PA,BRASIL,FAER,13/04/2025,20:00:00,NAO,FINALIZADA,***,NAO,,0,1,NAO
87078,PUTOP,***,ULTRALEVE,FLYER,PELICAN 500BR,ULAC,PISTAO,MONOMOTOR,650.0,650.0,2.0,2007.0,BRASIL,BRASIL,ULTRALEVE,***,BRIGADEIRO LYSIAS RODRIGUES,ASSOCIACAO TOCANTINENSE DE AVIACAO,POUSO,PRIVADA,LEVE,0.0,87078,87078,87078,87078,INCIDENTE,-10.29,-48.35777777777,PALMAS,TO,BRASIL,SBPJ,29/04/2025,19:30:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87077,PRXMN,***,AVIAO,BOEING,737-8 MAX,B38M,JATO,BIMOTOR,82644.0,82644.0,0.0,2021.0,BRASIL,BRASIL,AVIAO,***,NAO IDENTIFICADO,NAO IDENTIFICADO,INSPECAO DE TRANSITO/INTERVOO,REGULAR,LEVE,0.0,87077,87077,87077,87077,INCIDENTE,-3.775833333333,-38.53222222222,FORTALEZA,CE,BRASIL,SBFZ,17/04/2025,00:15:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
87076,PTMXC,***,AVIAO,AIRBUS,A321-231,A321,JATO,BIMOTOR,89000.0,89000.0,232.0,2007.0,BRASIL,BRASIL,AVIAO,***,GOVERNADOR ANDRE FRANCO MONTORO,HERCILIO LUZ,CRUZEIRO,REGULAR,NENHUM,0.0,87076,87076,87076,87076,INCIDENTE,-23.43555555555,-46.47305555555,SAO PAULO,SP,BRASIL,SBGR,24/04/2025,16:30:00,SIM,FINALIZADA,***,NAO,,0,1,NAO
