aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_fatalidades_total,ocorrencia_latitude,ocorrencia_longitude,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_classificacao,aeronave_tipo_veiculo_OTHERS_aeronave_tipo_veiculo,aeronave_motor_tipo_OTHERS_aeronave_motor_tipo,aeronave_motor_tipo_PISTAO,aeronave_motor_quantidade_OTHERS_aeronave_motor_quantidade,aeronave_pais_fabricante_OTHERS_aeronave_pais_fabricante,aeronave_pais_registro_OTHERS_aeronave_pais_registro,aeronave_registro_categoria_OTHERS_aeronave_registro_categoria,aeronave_registro_segmento_OTHERS_aeronave_registro_segmento,aeronave_registro_segmento_REGULAR,aeronave_fase_operacao_CRUZEIRO,aeronave_fase_operacao_DECOLAGEM,aeronave_fase_operacao_OTHERS_aeronave_fase_operacao,aeronave_fase_operacao_POUSO,aeronave_fase_operacao_SUBIDA,aeronave_tipo_operacao_PRIVADA,aeronave_tipo_operacao_REGULAR,aeronave_nivel_dano_OTHERS_aeronave_nivel_dano,ocorrencia_uf_DF,ocorrencia_uf_GO,ocorrencia_uf_MG,ocorrencia_uf_MT,ocorrencia_uf_OTHERS_ocorrencia_uf,ocorrencia_uf_PE,ocorrencia_uf_PR,ocorrencia_uf_RJ,ocorrencia_uf_RS,ocorrencia_uf_SP,investigacao_aeronave_liberada_SIM,investigacao_status_OTHERS_investigacao_status,divulgacao_relatorio_numero_OTHERS_divulgacao_relatorio_numero,divulgacao_relatorio_publicado_OTHERS_divulgacao_relatorio_publicado,ocorrencia_saida_pista_OTHERS_ocorrencia_saida_pista
0.0029032258064516127,0.0029032258064516127,0.015625,0.992094861660079,0.0,0.3797662117762596,0.13092261513738912,0.0,0.0,INCIDENTE,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.09101032258064515,0.09101032258064515,0.0,0.0,0.0,0.2515926928192177,0.24296845786123838,0.0,0.0,INCIDENTE,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0027806451612903222,0.0027806451612903222,0.018229166666666664,0.983201581027668,0.0,0.21541529911162216,0.24400133404752006,0.0,0.0,INCIDENTE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.11483870967741934,0.11483870967741934,0.6041666666666666,0.9935770750988142,0.0,0.2039160220295993,0.2769361375281653,0.0,0.0,INCIDENTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.11483870967741934,0.11483870967741934,0.6041666666666666,0.9916007905138339,0.0,0.2039160220295993,0.2769361375281653,0.0,0.0,INCIDENTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.029677419354838707,0.029677419354838707,0.1953125,0.9940711462450592,0.0,0.23089399407168654,0.2407369601908167,0.0,0.0,INCIDENTE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.09101032258064515,0.09101032258064515,0.5182291666666666,0.9945652173913043,0.0,0.27194784469957,0.31279573913302683,0.0,0.0,INCIDENTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.09101032258064515,0.09101032258064515,0.5026041666666666,0.9940711462450592,0.0,0.20322892829524142,0.27757688459473634,0.0,0.0,INCIDENTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.09935483870967741,0.09935483870967741,0.47916666666666663,0.9930830039525691,0.0,0.322642002139232,0.24631772565108168,0.0,0.0,INCIDENTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.028387096774193547,0.028387096774193547,0.0,0.9960474308300394,0.0,0.1852156208928714,0.2338181046418375,0.0,0.0,INCIDENTE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
