aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_fatalidades_total,ocorrencia_latitude,ocorrencia_longitude,total_recomendacoes,total_aeronaves_envolvidas,aeronave_tipo_veiculo_OTHERS_aeronave_tipo_veiculo,aeronave_motor_tipo_OTHERS_aeronave_motor_tipo,aeronave_motor_tipo_PISTAO,aeronave_motor_quantidade_OTHERS_aeronave_motor_quantidade,aeronave_pais_fabricante_OTHERS_aeronave_pais_fabricante,aeronave_pais_registro_OTHERS_aeronave_pais_registro,aeronave_registro_categoria_OTHERS_aeronave_registro_categoria,aeronave_registro_segmento_OTHERS_aeronave_registro_segmento,aeronave_registro_segmento_REGULAR,aeronave_fase_operacao_CRUZEIRO,aeronave_fase_operacao_DECOLAGEM,aeronave_fase_operacao_OTHERS_aeronave_fase_operacao,aeronave_fase_operacao_POUSO,aeronave_fase_operacao_SUBIDA,aeronave_tipo_operacao_PRIVADA,aeronave_tipo_operacao_REGULAR,aeronave_nivel_dano_OTHERS_aeronave_nivel_dano,ocorrencia_uf_DF,ocorrencia_uf_GO,ocorrencia_uf_MG,ocorrencia_uf_MT,ocorrencia_uf_OTHERS_ocorrencia_uf,ocorrencia_uf_PE,ocorrencia_uf_PR,ocorrencia_uf_RJ,ocorrencia_uf_RS,ocorrencia_uf_SP,investigacao_aeronave_liberada_SIM,investigacao_status_OTHERS_investigacao_status,divulgacao_relatorio_numero_OTHERS_divulgacao_relatorio_numero,divulgacao_relatorio_publicado_OTHERS_divulgacao_relatorio_publicado,ocorrencia_saida_pista_OTHERS_ocorrencia_saida_pista,ocorrencia_classificacao
0.0029032258064516,0.0029032258064516,0.015625,0.992094861660079,0.0,0.3797662117762596,0.1309226151373891,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0910103225806451,0.0910103225806451,0.0,0.0,0.0,0.2515926928192177,0.2429684578612383,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0027806451612903,0.0027806451612903,0.0182291666666666,0.983201581027668,0.0,0.2154152991116221,0.24400133404752,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.1148387096774193,0.1148387096774193,0.6041666666666666,0.9935770750988142,0.0,0.2039160220295993,0.2769361375281653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.1148387096774193,0.1148387096774193,0.6041666666666666,0.991600790513834,0.0,0.2039160220295993,0.2769361375281653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0296774193548387,0.0296774193548387,0.1953125,0.9940711462450592,0.0,0.2308939940716865,0.2407369601908167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0910103225806451,0.0910103225806451,0.5182291666666666,0.9945652173913044,0.0,0.27194784469957,0.3127957391330268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0910103225806451,0.0910103225806451,0.5026041666666666,0.9940711462450592,0.0,0.2032289282952414,0.2775768845947363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0993548387096774,0.0993548387096774,0.4791666666666666,0.9930830039525692,0.0,0.322642002139232,0.2463177256510816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0283870967741935,0.0283870967741935,0.0,0.9960474308300394,0.0,0.1852156208928714,0.2338181046418375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0793045161290322,0.0793045161290322,0.3984375,0.9891304347826086,0.0,0.2032289282952414,0.2775768845947363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0006451612903225,0.0006451612903225,0.0052083333333333,0.9975296442687748,0.1428571428571428,0.3270298590705889,0.3208647053472713,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,ACIDENTE
0.0016967741935483,0.0016967741935483,0.0026041666666666,0.9723320158102766,0.0,0.2617769488374202,0.2458528303030589,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,ACIDENTE
0.0022245161290322,0.0022245161290322,0.015625,0.975296442687747,0.0,0.3797929320881513,0.1507210931104224,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0008387096774193,0.0008387096774193,0.0052083333333333,0.991600790513834,0.0,0.2899401575712061,0.2397728076647168,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.1066374193548387,0.1066374193548387,0.0,0.9985177865612648,0.0,0.3346985885835047,0.3112696696210819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.1148387096774193,0.1148387096774193,0.6041666666666666,0.991600790513834,0.0,0.1996178690024876,0.2534872204311321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0027806451612903,0.0027806451612903,0.0182291666666666,0.983201581027668,0.0,0.2154152991116221,0.24400133404752,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.1066374193548387,0.1066374193548387,0.5104166666666666,0.0,0.0,0.2851629475237657,0.3218854538287978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0993548387096774,0.0993548387096774,0.4791666666666666,0.9940711462450592,0.0,0.198308573719764,0.2521531729107665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,INCIDENTE
0.0017264516129032,0.0017264516129032,0.0104166666666666,0.974802371541502,0.0714285714285714,0.3702671408987619,0.1741477760821562,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,ACIDENTE
